data,descricao,valor,categoria
2026-09-01,Salário setembro,8500.00,Salário
2026-09-02,Aluguel apartamento,-2200.00,Aluguel
2026-09-03,Supermercado Extra,-186.40,Supermercado
2026-09-05,iFood jantar,-54.90,iFood
2026-09-07,Posto Shell,-210.00,Combustível
2026-09-08,Farmácia Droga Raia,-67.30,Farmácia/drogaria
2026-09-10,Netflix,-55.90,Assinaturas
2026-09-12,Cinema,-48.00,Lazer/Entretenimento
2026-09-15,Barbeiro,-45.00,Barbeiro
2026-09-18,PIX para poupança,-500.00,Transferências entre contas
2026-09-20,Restaurante italiano,-132.00,Restaurantes
2026-09-22,Curso online,-199.00,Educação
2026-09-25,Presente aniversário,-89.90,Presentes
2026-09-28,Starbucks,-28.50,Starbucks
